training iterations,perplexity,perplexity POS
500,7503.68896484375,7.524357318878174
1000,3248.93798828125,5.846888065338135
1500,2381.199951171875,5.390284538269043
2000,1742.4515380859375,5.140946865081787
2500,1702.7008056640625,4.940513610839844
3000,1555.91357421875,4.803708076477051
3500,1328.5072021484375,4.719982147216797
4000,1320.5675048828125,4.648383140563965
4500,1185.2508544921875,4.597746849060059
5000,1041.626953125,4.555224895477295
5500,1041.3631591796875,4.524433135986328
6000,1039.2691650390625,4.494410037994385
6500,937.6593017578125,4.457571983337402
7000,931.9865112304688,4.441011428833008
7500,900.9276733398438,4.421082496643066
8000,842.9020385742188,4.404001712799072
8500,866.06884765625,4.369058132171631
9000,897.965576171875,4.361802577972412
9500,877.6686401367188,4.346587657928467
10000,802.5343017578125,4.342563629150391
10500,814.5701904296875,4.327974796295166
