training iterations,perplexity,perplexity POS
500,14900.73828125,12.187569618225098
1000,7361.59765625,37.04997253417969
1500,11753.140625,31.742652893066406
2000,5281.03125,44.88581466674805
2500,2528.823486328125,131.35430908203125
3000,3511.82568359375,50.026607513427734
3500,3509.59326171875,64.71964263916016
4000,4812.31201171875,65.92005157470703
4500,3353.00927734375,94.54542541503906
5000,3046.48583984375,56.89826583862305
5500,2373.77880859375,76.78258514404297
6000,3097.686279296875,88.90634155273438
6500,2398.996337890625,75.15226745605469
7000,2420.073486328125,55.65384292602539
7500,2266.56787109375,57.404666900634766
8000,2922.86083984375,83.0143051147461
8500,2321.140625,47.60281753540039
9000,1857.7056884765625,75.27281188964844
9500,976.720947265625,167.44285583496094
10000,2401.95068359375,99.57676696777344
10500,2267.197265625,139.28695678710938
