training iterations,perplexity,perplexity POS
10,29968.6640625,inf
20,16160.7490234375,inf
30,13099.45703125,inf
40,11000.3701171875,inf
50,9346.7958984375,inf
60,7834.03662109375,inf
70,6549.0361328125,inf
80,5398.9609375,inf
90,4417.4853515625,inf
100,3545.358154296875,inf
