training iterations,perplexity,perplexity POS
500,444.7971496582031,inf
1000,5982.384765625,inf
1500,23861.0,inf
2000,53467.375,inf
2500,96898.3359375,inf
3000,114200.28125,inf
3500,179037.875,inf
4000,193529.609375,inf
