training iterations,perplexity_normal,perplexity POS_normal,perplexity_POS,perplexity POS_POS,perplexity_diff,perplexity_POS_diff
1000,5982.384765625,inf,1560.1495361328125,1.4012047052383425,4422.2352294921875,inf
2000,53467.375,inf,12048.5029296875,1.5141398906707764,41418.8720703125,inf
