training iterations,perplexity,perplexity POS
500,386.71405029296875,1.3284202814102173
1000,2602.85205078125,1.4385641813278198
1500,7002.8076171875,1.4814813137054443
2000,14729.181640625,1.5188223123550415
2500,25789.056640625,1.6272414922714233
3000,39186.47265625,1.6544023752212524
3500,59750.92578125,1.7629245519638062
4000,84590.1640625,1.7594232559204102
4500,83554.8125,1.8429641723632812
5000,117524.171875,1.7593837976455688
