training iterations,perplexity,perplexity POS
500,501.9717102050781,inf
1000,4001.3134765625,inf
1500,11923.07421875,inf
2000,31113.55859375,inf
2500,78268.7734375,inf
3000,153855.703125,inf
3500,182527.28125,inf
4000,267375.75,inf
4500,358741.03125,inf
5000,355964.03125,inf
